genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Chrysonotomyia punctiventris,(Crawford),"NA",Hymenoptera,"NA",Eulophidae,1976,I,"NA","NA","NA",Lai (1985) Introductions for Biological Control in Hawaii 1981 and 1982. Proceedings Hawaiian Entomological Society 25: 83-86,NA
Cothonaspis sp.,-,"NA",Hymenoptera,"NA",Cynipidae,1976,"NA","NA",Nearctic,"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Elasmus sp.,-,"NA",Hymenoptera,"NA",Elasmidae,1976,"NA","NA","NA","NA",Nishida(2002),NA
Furchadaspis zamiae,(Morgan),"NA",Hemiptera,"NA",Diaspididae,1976,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Ganaspidium utilis,Beardsley,"NA",Hymenoptera,"NA",Eucoilidae,1976,I,"NA",Nearctic,"NA","ROBO (http://www.ars-grin.gov/nigrp/robo.html)
Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Kafle and Chang (2005) Life History of Ganaspidium utilis (Beardsley)(Hymenoptera: Eucoilidae) in Taiwan. Formosan Entomol 25: 87-94.",NA
Hofmannophila pseudospretella,(Stainton),"NA",Lepidoptera,"NA",Oecophoridae,1976,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Larra luzonensis,Rohwer,Crabronid wasp,Hymenoptera,"NA",Sphecidae,1976,I,"NA",Indomalaya,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Yoshimoto (1960) Revision of Hawaiian Crabroninae with synopsis of Hawaiian Sphecidae (Hym.). Pacific Insects 2: 301-337",NA
Leucopis obscura,Haliday,"NA",Diptera,"NA",Chamaemyiidae,1976,I,"NA",Palearctic(Europe),"NA","Miyahira & Nakahara (1976) Cooperative Plant Pest Report 1: 492. Nishida(2002). http://www.fao.org/docrep/008/u4778e/u4778e06.htm
Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128",NA
Ligyrocoris litigiosus,(Stal),"NA",Hemiptera,"NA",Lygaeidae,1976,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Odontaleyrodes rhododendri,"NA",Whitefly,Hemiptera,"NA",Aleyrodidae,1976,"NA","NA","NA","NA",Beardsley (1979),NA
Opius dimidiatus,(Ashmead),"NA",Hymenoptera,"NA",Braconidae,1976,I,"NA",Nearctic,"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Orchamoplatus mammaeferus,(Quaintance and Baker),"NA",Hemiptera,"NA",Aleyrodidae,1976,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Otiorhynchus sulcatus,(Fabricius),black vine weevil,Coleoptera,"NA",Curculionidae,1976,"NA","NA",Palearctic(Europe),"NA",Beardsley & Higa (1976) (first collection not quarantine interception) Cooperative Plant Pest Report 1(33): 538.,NA
Pealius rhododendri,Takahashi,azalea whitefly,Hemiptera,"NA",Aleyrodidae,1976,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Pseudomyrmex gracilis,(Fabricius),the elongate: Mexican twig ant,Hymenoptera,"NA",Formicidae,1976,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Sardia rostrata,(Kirkaldy),"NA",Hemiptera,"NA",Delphacidae,1976,"NA","NA",Australasia,"NA",Nishida(2002),NA
Scirtes sp.,-,"NA",Coleoptera,"NA",Helodidae,1976,"NA","NA","NA","NA",Beardsley & Mau (1976) Cooperative Plant Pest Report 1: 67.,NA
Scymnus suturalis,Thunberg,"NA",Coleoptera,"NA",Coccinellidae,1976,I,"NA",Palearctic(Europe),"NA","Higa (1979) Proceedings of the Hawaiian Entomological Society 23(1): 26. Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128
Montgomery and Lyon (1995 October). Natural enemies of adelgids in North America: their prospect for biological control of Adelges tsugae (Homoptera: Adelgidae). In Proceedings First Hemlock Woolly Adelgid Review (Vol. 12, pp. 96-10).",NA
Spanbergiella quadripunctata,Lawson,"NA",Hemiptera,"NA",Cicadellidae,1976,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Stegana coleoptrata,"NA",Pomace fly,Diptera,"NA",Drosophilidae,1976,"NA","NA","NA","NA",Leblanc et al. (2009),NA
Thorictodes heydeni,Reitter,"NA",Coleoptera,"NA",Thorictidae,1976,"NA","NA",Afrotropic,"NA",Editor (1979) Proceedings of the Hawaiian Entomological Society 23(1): 27.  Nishida(2002),NA
Balclutha rufofasciata,"NA",Leafhopper,Hemiptera,"NA",Cicadellidae,1975,"NA","NA","NA","NA",Beardsley (1979),NA
Barichneumon californicus,Heinrich,"NA",Hymenoptera,"NA",Ichneumonidae,1975,"NA","NA",Nearctic,"NA",Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30,NA
Clausenia purpurea,Ishii,"NA",Hymenoptera,"NA",Encyrtidae,1975,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Conoderus amplicollis,(Gyllenhal),"NA",Coleoptera,"NA",Elateridae,1975,"NA","NA","NA","NA",Beardsley (1975) Cooperative Economic Insect Report 25: 135.,NA
Diglyphus intermedius,(Girault),"NA",Hymenoptera,"NA",Eulophidae,1975,I,"NA",Nearctic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Hendrickson and Barth (1978). Notes on the biology of Diglyphus intermedius (Hymenoptera: Eulophidae) a parasite of the alfalfa blotch leafminer Agromyza frontella (Diptera: Agromyzidae). Proceedings of the Entomological Society of Washington, 80(2): 210-215.",NA
Diglyphus isaea,(Walker),"NA",Hymenoptera,"NA",Eulophidae,1975,I,"NA",Palearctic(Europe),"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Encarsia variegata,Howard,"NA",Hymenoptera,"NA",Aphelinidae,1975,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Evagetes padrinus,(Viereck),"NA",Hymenoptera,"NA",Pompilidae,1975,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Heteropsylla sp.,-,"NA",Hemiptera,"NA",Psyllidae,1975,"NA","NA","NA","NA",Nishida(2002),NA
Hygrotus lutescens,(Le Conte),syn (Hygrotus medialis),Coleoptera,"NA",Dytiscidae,1975,"NA","NA",Nearctic,"NA",Beardsley (1975) Cooperative Economic Insect Report 25: 583.,NA
Imma mylias,Meyrick,"NA",Lepidoptera,"NA",Immidae,1975,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Platystethus sp.,-,"NA",Coleoptera,"NA",Staphylinidae,1975,"NA","NA","NA","NA",Moore (1975) Proceedings of the Hawaiian Entomological Society 22(1): 105. Nishida(2002),NA
Prospaltella clypealis,Silvestri,"NA",Hymenoptera,"NA",Aphelinidae,1975,I,"NA",Nearctic,"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Prospaltella opulenta,Silvestri,"NA",Hymenoptera,"NA",Aphelinidae,1975,I,"NA",Nearctic,"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Pteromalus luzonensis,Gahan,"NA",Hymenoptera,"NA",Pteromalidae,1975,I,"NA",Oceania,"NA",Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160,NA
Scopaeus sp.,-,"NA",Coleoptera,"NA",Staphylinidae,1975,"NA","NA","NA","NA",Moore (1975) Proceedings of the Hawaiian Entomological Society 22(1): 106. Nishida(2002),NA
Spilomicrus sp.,-,"NA",Hymenoptera,"NA",Diapridae,1975,"NA","NA","NA","NA",Nishida(2002),NA
Therioaphis maculata,(Buckton),spotted alfalfa aphid,Hemiptera,"NA",Aphididae,1975,"NA","NA",Palearctic(Europe) Palearctic(Asia),"NA",Nishida(2002),NA
Triaxys complanatus,Quilis,"NA",Hymenoptera,"NA",Braconidae,1975,I,"NA","NA","NA",Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160,NA
Uroleucon sonchi,(Linnaeus),"NA",Hemiptera,"NA",Aphididae,1975,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA",Nishida(2002),NA
Aleurocanthus spiniferus,(Quaintance),citrus spiny whitefly,Hemiptera,"NA",Aleyrodidae,1974,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Amitus hesperidum,Silvestri,Silvestri,Hymenoptera,"NA",Platygastridae,1974,I,"NA",Neotropic,"NA",Nakao and Funasaki (1976) Introductions for biological control in Hawaii 1974. Journal Proceedings of the Hawaiian Entomological Society 22: 329-331,NA
Amyna axis,(Guenee),syn(Amyna octo),Lepidoptera,"NA",Noctuidae,1974,"NA","NA",Indomalaya Australasia Afrotropic,"NA","Nishida(2002)
http://en.wikipedia.org/wiki/Amyna_axis",NA
Atherigona reversura,Villeneuve,Bermudagrass stem maggot,Diptera,"NA",Muscidae,1974,"NA","NA","NA","NA",Hardy & Beardsley (1974) Cooperative Economic Insect Report 24: 373.  Nishida (2002).,NA
Botocudo marianensis,(Usinger),"NA",Hemiptera,"NA",Lygaeidae,1974,"NA","NA",Oceania,"NA",Nishida(2002),NA
Brumoides suturalis,(Fabricius),threestriped lady beetle,Coleoptera,"NA",Coccinellidae,1974,"NA","NA",Indomalaya,"NA",Plant Prot. Quarantine (1974) Cooperative Economic Insect Report 24: 606.,NA
Brunneria borealis,Scudder,"NA",Mantodea,"NA",Mantidae,1974,"NA","NA","NA","NA",Nishida(2002),NA
Cerocephala dinoderi,Gahan,"NA",Hymenoptera,"NA",Pteromalidae,1974,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Deilephila nerii,(Linnaeus),"NA",Lepidoptera,"NA",Sphingidae,1974,"NA","NA","NA","NA",Nishida(2002),NA
Dendrocerus amamensis,Takada,"NA",Hymenoptera,"NA",Megaspilidae,1974,"NA","NA",Okinawa Indomalaya,"NA",Nishida(2002),NA
Euoniticellus africanus,Harold,"NA",Coleoptera,"NA",Scarabaeidae,1974,I,"NA",Afrotropic,"NA","Mau (1974) Cooperative Economic Insect Report 24: 373. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
http://www.dungbeetles.org.au/index.php?option=com_content&view=category&layout=blog&id=10&Itemid=33",NA
Euoniticellus intermedius,Reiche,Onthophagus gazella,Coleoptera,"NA",Scarabaeidae,1974,I,"NA","Afrotropic, Australasia","NA",Mau (1974) Cooperative Economic Insect Report 24: 373. Lau and Funasaki (1985) Introductions for Biological Control in Hawaii 1981 and 1982. Proc Hawaii Entomol Soc 25(1): 83-86,NA
Frankliniella invasor,Sakimura,"NA",Thysanoptera,"NA",Thripidae,1974,"NA","NA","NA","NA",Nishida(2002),NA
Gotra sp.,-,"NA",Hymenoptera,"NA",Ichneumonidae,1974,"NA","NA",Indomalaya,"NA",Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30,NA
Leucania loreyimima,Rungs,"NA",Lepidoptera,"NA",Noctuidae,1974,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Lorita scarificata,(Meyrick),"NA",Lepidoptera,"NA",Tortricidae,1974,"NA","NA","NA","NA",Nishida(2002),NA
Merothrips floridensis,Watson,"NA",Thysanoptera,"NA",Merothripidae,1974,"NA","NA",Neotropic,"NA","Nishida(2002)
http://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Merothrips_floridensis.htm",NA
Mesovelia amoena,Uhler,"NA",Hemiptera,"NA",Mesoveliidae,1974,"NA","NA",Nearctic Neotropic,"NA","Nishida(2002)
Moreira et al (2008) A synopsis of the species of Mesovelia (Insecta: Heteroptera: Mesoveliidae) occurring in the floodplain of the Amazon River Brazil with redescriptions of Mesovelia mulsanti White and M. zeteki Harris and Drake. Acta Amazonica, 38(3): 539-550",NA
Ophiusa disjungens,(Walker),"NA",Lepidoptera,"NA",Noctuidae,1974,"NA","NA",Indomalaya Australasia,"NA",Nishida(2002),NA
Prospaltella smithi,Silvestri,Parasitoid wasp,Hymenoptera,"NA",Aphelinidae,1974,I,"NA",Palearctic(Asia),"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Gyeltshen et al () Orange Spiny Whitefly, Aleurocanthus spiniferus (Quaintance)(Insecta: Hemiptera: Aleyrodidae).",NA
Scaeva pyrastri,(Linnaeus),"NA",Diptera,"NA",Syrphidae,1974,"NA","NA","NA","NA",Swezey (1925) Hawaiian Planters Record 29(4): 376. Nishida(2002),NA
Stenotus sp.,-,"NA",Hemiptera,"NA",Miridae,1974,"NA","NA","NA","NA",Nishida(2002),NA
Theretra nessus,(Drury),Yam Hawk Moth,Lepidoptera,"NA",Sphingidae,1974,"NA","NA",Cosmopolitan,"NA",Nishida(2002),NA
Zygina penapacha,(Beamer),"NA",Hemiptera,"NA",Cicadellidae,1974,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Aephnidius opaculus,(Zimmermann),"NA",Coleoptera,"NA",Carabidae,1973,"NA","NA",Indomalaya,"NA",Zimmerman (1973) Proceedings of the Hawaiian Entomological Society 21(2): 294.,NA
Altica corusca,(Erichson),"NA",Coleoptera,"NA",Chrysomelidae,1973,"NA","NA","NA","NA",Samuelson (1973) Pacific Insects Monographs 30: 37.,NA
Anabrolepis bifasciata,Ishii,"NA",Hymenoptera,"NA",Encyrtidae,1973,"NA","NA",Indomalaya,"NA",Smith (1976) Synopsis of Hawaiian Encyrtidae (Genera arranged alphabetically without regard to phylogenetic relationships). Genus ACEROPHAGUS. Proc. Hawaii. Entomol. Soc. 22: 196-228,NA
Apallates hermsi,(Sabrosky),"NA",Diptera,"NA",Chloropidae,1973,"NA","NA","NA","NA",Hardy (1973) Proceedings of the Hawaiian Entomological Society 21(2): 151.  Nishida(2002).,NA
Aphis oestlundi,Gillette,"NA",Hemiptera,"NA",Aphididae,1973,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Callosobruchus pulcher,(Pic),"NA",Coleoptera,"NA",Chrysomelidae,1973,"NA","NA",Palearctic(Asia),"NA",Funasaki (1973) (as Callosobruchus albocallosus) Cooperative Economic Insect Report 23: 149.,NA
Cladius difformis,(Panzer),"NA",Hymenoptera,"NA",Tenthredinidae,1973,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA",BugGuide,NA
Coccus capparidis,(Green),"NA",Hemiptera,"NA",Coccidae,1973,"NA","NA",Palearctic(Asia),"NA","Nishida(2002)
Miller et al (2005) Introduced scale insects (Hemiptera: Coccidea) of the United States and their impact on U.S. Agriculture. Proceedings of Entomological Society of Washington 107: 123-158",NA
Corynoptera brevipalpis,Steffan,"NA",Diptera,"NA",Sciaridae,1973,"NA","NA",Oceania,"NA",Nishida(2002),NA
Cotesia erionotae,(Wilkinson),"NA",Hymenoptera,"NA",Braconidae,1973,I,"NA",Indomalaya,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Cullen and Sands (2002 January) Douglas Frew Waterhouseâ€“a dedication. In 1st International Symposium on Biological Control of Arthropods Honolulu. Hawaii USA.",NA
Desmometopa inaurata,Lamb,"NA",Diptera,"NA",Milichiidae,1973,"NA","NA",Afrotorpic,"NA",Hardy (1973) Proceedings of the Hawaiian Entomological Society 21: 2.  Nishida(2002).,NA
Diadegma pattoni,(Ashmead),"NA",Hymenoptera,"NA",Ichneumonidae,1973,"NA","NA",Nearctic,"NA",Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30,NA
Erionota thrax,(Linnaeus),Banana skipper,Lepidoptera,"NA",Hesperiidae,1973,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Eulachnus sp.,-,"NA",Hemiptera,"NA",Aphididae,1973,"NA","NA","NA","NA",Nishida(2002),NA
Euvespivora decipiens,(Walker),"NA",Diptera,"NA",Tachinidae,1973,"NA","NA","NA","NA",Nishida(2002),NA
Frankliniella hemerocallis,Crawford,cotton thrips,Thysanoptera,"NA",Thripidae,1973,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Gabaza albiseta,(Meijere),syn (Wallacea albiseta),Diptera,"NA",Stratiomyidae,1973,"NA","NA",Indomalaya,"NA",Howarth (1973) Cooperative Economic Insect Report 23: 149. Nishida(2002),NA
Leucophenga maculosa,(Coquillett),"NA",Diptera,"NA",Drosophilidae,1973,"NA","NA",Nearctic,"NA",Kaneshiro (1973) Cooperative Economic Insect Report 23: 349.  Nishida (2002).,NA
Liriomyza huidobrensis,(Blanchard),South American leafminer,Diptera,"NA",Agromyzidae,1973,"NA","NA",Nearctic,"NA",Spencer (1973) Agromyzidae of Economic Importance p. 215. Nishida(2002),NA
Notiobia purpurascens,(Bates),"NA",Coleoptera,"NA",Carabidae,1973,"NA","NA",Nearctic,"NA",Zimmerman (1973) (as Anisotarsus purpuracens!) Proceedings of the Hawaiian Entomological Society 21(2): 293.,NA
Onitis alexis,Klug,"NA",Coleoptera,"NA",Scarabaeidae,1973,I,"NA",Afrotropic,"NA","Nakao, Funasaki & Davis (1975) Proceedings of the Hawaiian Entomological Society 22(1): 111. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Tyndale-Biscoe (1996) Australias introduced dung beetles: original releases and redistributions (No. 62). CSIRO Australia.",NA
Ooencyrtus pallidipes,Ferriere,syn (Ooencyrtus erionotae),Hymenoptera,"NA",Encyrtidae,1973,I,"NA",Palearctic(Asia) Indomalaya,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Zhang et al (2005) A taxonomic study of chinese species of Ooencyrtus (Insecta: Hymenoptera: Encyrtidae). ZOOLOGICAL STUDIES-TAIPEI 44(3), 347.",NA
Pristonychus complanatus,Dejean,"NA",Coleoptera,"NA",Carabidae,1973,"NA","NA",Palearctic(Europe),"NA",Zimmerman (1973) Proceedings of the Hawaiian Entomological Society 21(2): 291.,NA
Procecidochares alani,Steyskal,"NA",Diptera,"NA",Tephritidae,1973,I,"NA",Neotropic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Barton et al (2007) Successful biological control of mist flower Ageratina riparia in New Zealand: Agent establishment impact and benefits to the native flora. Biological Control 40(3): 370-385.",NA
Pseudogonia rufifrons,(Wiedemann),"NA",Diptera,"NA",Tachinidae,1973,"NA","NA","NA","NA",Nishida(2002),NA
Pycnomerus rufipennis,(Montrouzier),syn (Penthelispa rufipennis),Coleoptera,"NA",Colydiidae,1973,"NA","NA",Australasia,"NA",Funasaki (1973) Cooperative Economic Insect Report 23: 241.,NA
Saissetia miranda,(Cockerell and Parrott),"NA",Hemiptera,"NA",Coccidae,1973,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Saissetia neglecta,De Lotto,"NA",Hemiptera,"NA",Coccidae,1973,"NA","NA",Afrotropic,"NA","Nishida(2002)
Miller et al (2005) Introduced scale insects (Hemiptera: Coccidea) of the United States and their impact on U.S. Agriculture. Proceedings of Entomological Society of Washington 107: 123-158",NA
Semaranga dorsocentralis,Becker,"NA",Diptera,"NA",Chloropidae,1973,"NA","NA",Indomalaya,"NA",Joyce (1973) Proceedings of the Hawaiian Entomological Society 22(3): 409.  Nishida(2002).,NA
Sepsis lateralis,Wiedemann,"NA",Diptera,"NA",Sepsidae,1973,"NA","NA",Palearctic(Asia),"NA",Hardy (1973) Cooperative Economic Insect Report 23: 362. Nishida(2002),NA
Sepsis thoracica,(Robineau-Desvoidy),"NA",Diptera,"NA",Sepsidae,1973,"NA","NA",Palearctic(Asia) Palearctic(Europe) Indomalaya Afrotropic,"NA",Hardy (1973) Cooperative Economic Insect Report 23: 241. Nishida(2002). Point (1986) Provisional atlas of the Sepsidae (Diptera) of the British isles,NA
Uroleucon pseudambrosiae,(Olive),"NA",Hemiptera,"NA",Aphididae,1973,"NA","NA",Nearctic,"NA",Foottit (2012) Aphids (Hemiptera: Aphididae and Adelgidae) of Hawaii: Annotated List and Key to Species of an Adventive Fauna. Pacific Science. 66:1-30,NA
Vespula vulgaris,(Linnaeus),"NA",Hymenoptera,"NA",Vespidae,1973,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Blaesoxipha rufipes,(Macquart),"NA",Diptera,"NA",Sarcophagidae,1972,I,"NA","NA","NA",Davis (1972) (first release) Proceedings of the Hawaiian Entomological Society 21(1): 61-62.  Nishida(2002).,NA
Cardiophorus stolatus,Erichson,"NA",Coleoptera,"NA",Elateridae,1972,"NA","NA","NA","NA",Kawamura (1972) Cooperative Economic Insect Report 22: 644.,NA
Carneocephala sagittifera,(Uhler),"NA",Hemiptera,"NA",Cicadellidae,1972,"NA","NA","NA","NA",Nishida(2002),NA
Dictya texensis,Curran,"NA",Diptera,"NA",Sciomyzidae,1972,I,"NA",Nearctic,"NA",Davis (1972) (as Diploneura cornuta) Proceedings of the Hawaiian Entomological Society 21(1): 61.  Nishida(2002). Davis (1971) Recent introductions for biological control in Hawaii XVI. Proceedings of Hawaii Entomological Society 21: 59-62. Fischer and Orth (1983) The Marsh Flies of California:(Diptera: Sciomyzidae) (Vol. 24). University of California Pr.,NA
Drosophila spp.,-,"NA",Diptera,"NA",Drosophilidae,1972,"NA","NA","NA","NA",Grimshaw (1901) Fauna Hawaiiensis 3(1): 68. Nishida(2002).,NA
Drosophila virilis,Sturtevant,"NA",Diptera,"NA",Drosophilidae,1972,"NA","NA",Cosmopolitan,"NA",Kaneshiro (1973) Cooperative Economic Insect Report 23: 349.  Nishida (2002).,NA
Ectopsocus spilotus,Thornton and Wong,"NA",Psocoptera,"NA",Peripsocidae,1972,"NA","NA","NA","NA",Nishida(2002),NA
Eysarcoris ventralis,(Westwood),white-spotted bug,Hemiptera,"NA",Pentatomidae,1972,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Graphocephala cythura,(Baker),"NA",Hemiptera,"NA",Cicadellidae,1972,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Hemipsocus chloroticus,(Hagen),"NA",Psocoptera,"NA",Hemipsocidae,1972,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Nishida(2002),NA
Homalopoda cristata,Howard,"NA",Hymenoptera,"NA",Encyrtidae,1972,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Nicoletia sp.,-,"NA",Thysanura,"NA",Nicoletiidae,1972,"NA","NA","NA","NA",Nishida(2002),NA
Nysius vinitor,[sp.nr.]Bergroth,"NA",Hemiptera,"NA",Lygaeidae,1972,"NA","NA",Australasia,"NA",Nishida(2002),NA
Oidaematophorus beneficus,Yano and Heppner,Moth,Lepidoptera,"NA",Pterophoridae,1972,I,"NA",Neotropic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
http://en.wikipedia.org/wiki/Oidaematophorus_beneficus",NA
