species,year,genus_species,source,Order,Family,Genus,Mode of introduction,Establishment indoors/outdoors,Eradicated after the initial establishment
Loxa viridis (Palisot de Beauvois),1991,Loxa viridis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Mecidea minor Ruckes,1991,Mecidea minor,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nezara viridula L.,1901,Nezara viridula,"Causton, 2006",NA,NA,NA,NA,NA,NA
Piezodorus guildinii (Westwood),2001,Piezodorus guildinii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Podisus distinctus (St̴l),1991,Podisus distinctus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dysdercus concinnus St̴l.,1925,Dysdercus concinnus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dysdercus lunulatus,1964,Dysdercus lunulatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Barce fraterna (Say),1996,Barce fraterna,"Causton, 2006",NA,NA,NA,NA,NA,NA
Heza ephippium (Lichtenstein),2001,Heza ephippium,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rasahus hamatus (F.),1989,Rasahus hamatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tagalis seminigra Champion,1995,Tagalis seminigra,"Causton, 2006",NA,NA,NA,NA,NA,NA
Niesthrea sidae (Fabricius),1991,Niesthrea sidae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dicranocephalus bianchii (Jakovlev),1835,Dicranocephalus bianchii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Leptobyrsa decora Drake,2001,Leptobyrsa decora,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aleurothrixus floccosus (Maskell),1998,Aleurothrixus floccosus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aleurotrachelus trachoides (Back),2001,Aleurotrachelus trachoides,"Causton, 2006",NA,NA,NA,NA,NA,NA
