order,family,genus,species,genus.species,original.species.name,name.changed...1.yes..0..no.,tsn,rank,year,super.family,town,NZ.region,nz.area.code,origin,ecozone,current.distribution.cosmopolitan.,phagy,phagy.main,feeding.type,feeding.main,size.mm.,comment,eradicated,Intentional_Release,source,vagrant
Diptera,Sarcophagidae,Sarcophaga,crassipalpis,Sarcophaga crassipalpis,Sarcophaga crassipalpis,0,152063,Species,1944,Schizophora,Auckland,Auckland,AK,NA,Palearctic,Yes,polyphagous,Polyphagous,carrion,Carrion,15,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Sarcophagidae,Sarcophaga,peregrina,Sarcophaga peregrina,Sarcophaga peregrina,0,NA,Species,1971,Schizophora,Northland,Northland,ND,NA,Cosmopolitan,Yes,polyphagous,Polyphagous,ca/sap,Carrion,10,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Lecithoceridae,Sarisophora,NA,Sarisophora leucoscia,NA,NA,NA,Species,1998,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,Origin Australia,NA,NA,"Hoare, 2001",NA
Coleoptera,Staphylinidae,Scaphisoma,corcyricum,Scaphisoma corcyricum,Scaphisoma corcyricum,0,NA,Species,1976,Staphylinoidea,Auckland,Auckland,AK,Mediterranean,Palearctic,No,NA,NA,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Scaphisoma,funereum,Scaphisoma funereum,Scaphisoma funereum,0,NA,Species,1941,Staphylinoidea,Auckland,Auckland,AK,Australalia,Australasia,No,oligophagous,Oligophagous,herbivore,Herbivore,1.3,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Drosophilidae,Scaptodrosophila,enigma,Scaptodrosophila enigma,Scaptodrosophila enigma,0,NA,Species,1990,Schizophora,Auckland,Auckland,AK,Australia,Australasia,No,NA,NA,herbivore,Herbivore,3,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Drosophilidae,Scaptomyza,elmoi,Scaptomyza elmoi,Scaptomyza elmoi,0,NA,Species,1922,Drosophiloidea,NA,NA,NA,"Japan, Taiwan",Oriental,No,polyphagous,Polyphagous,saprophagous,Saprophagous,2,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Drosophilidae,Scaptomyza,flava,Scaptomyza flava,Scaptomyza flava,0,146624,Species,1964,Drosophiloidea,Levin,Manawatu-Wanganui,WI,Europe,Palearctic,No,polyphagous,Polyphagous,herbivore,Herbivore,3,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Ephydridae,Scatella,nitidithorax,Scatella nitidithorax,Scatella nitidithorax,0,NA,Species,1923,Schizophora,Nelson,Nelson- Tasman,NN,Australia,Australasia,No,NA,NA,herbivore,Herbivore,1.5,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Ephydridae,Scatella,vittithorax,Scatella vittithorax,Scatella vittithorax,0,NA,Species,1933,Drosophiloidea,Stephans Island,Nelson- Tasman,NN,Australia,Australasia,No,NA,NA,h/algae,Herbivore,1.5,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Scatopsidae,Scatopse,notata,Scatopse notata,Scatopse notata,0,125709,Species,NA,Nematocera,NA,NA,NA,NA,Cosmopolitan,Yes,polyphagous,Polyphagous,saprophagous,Saprophagous,3,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Sciardoceridae,Sciadocera,rufomaculata,Sciadocera rufomaculata,Sciadocera rufomaculata,0,NA,Species,1923,Aschiza,Auckland,Auckland,AK,Australia,Australasia,No,NA,NA,parasite,Parasite,4.7,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Mycetophilidae,Sciophila,ocreata,Sciophila ocreata,Sciophila ocreata,0,NA,Species,2003,Nematocera,Auckland,Auckland,AK,Chile,Neotropic,No,NA,NA,h/myco,Mycophagous,5,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Mycetophilidae,Sciophila,parviareolata,Sciophila parviareolata,Sciophila parviareolata,0,NA,Species,1983,Nematocera,Palmerston North,Manawatu-Wanganui,WI,Europe,Palearctic,No,polyphagous,Polyphagous,h/myco,Mycophagous,5,NA,NA,NA,"Edney-Browne, 2018",NA
Thysanoptera,Thripidae,Scirtothrips,inermis,Scirtothrips inermis,Scirtothrips inermis,0,695884,Species,1951,NA,Auckland,Auckland,AK,C,Cosmopolitan,Yes,polyphagous,Polyphagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Bethylidae,Sclerodermus,niveifemur,Sclerodermus niveifemur,Sclerodermus niveifemur,0,NA,Species,1967,NA,Waimamaku beach,Northland,ND,Australia,Australasia,No,monophagous,Monophagous,parasitoid,Parasitoid,4,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Ricaniidae,Scolypopa,australis,Scolypopa australis,Scolypopa australis,0,NA,Species,1876,Fulgoroidea,NA,NA,NA,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,7,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Curculionidae,Scolytus,multistriatus,Scolytus multistriatus,Scolytus multistriatus,0,114948,Species,1989,Curculionoidea,Auckland,Auckland,AK,Europe,Palearctic,No,oligophagous,Oligophagous,herbivore,Herbivore,2.5,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Gelechiidae,Scrobipalpa,obsoletella,Scrobipalpa obsoletella,Scrobipalpa obsoletella,0,NA,Species,1980,Gelechioidea,Hawkes Bay,Hawke's Bay,HB,"Europe, N. America",Palearctic,No,f-oligophagous,Oligophagous,herbivore,Herbivore,8,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Pteromalidae,Scutellista,caerulea,Scutellista caerulea,Scutellista caerule,1,NA,Species,2013,NA,Auckland,Auckland,AK,England,Palearctic,No,monophagous,Monophagous,parasitoid,Parasitoid,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Scymbalium,laetum,Scymbalium laetum,Scymbalium laetum,0,NA,Species,1941,Staphylinoidea,Waiheke Is.,Auckland,AK,Australalia,Australasia,No,NA,NA,saprophagous,Saprophagous,6,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Scymnus,blackburni,Scymnus blackburni,Scymnus blackburni,0,NA,Species,1974,Cucujoidea,Auckland,Auckland,AK,Australia,Australasia,No,oligophagous,Oligophagous,predator,Predator,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Scymnus,loewii,Scymnus loewii,Scymnus loewi,1,187052,Species,1941,Cucujoidea,Auckland,Auckland,AK,N. America,Nearctic,No,oligophagous,Oligophagous,predator,Predator,1.8,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Sepedophilus,phoxus,Sepedophilus phoxus,Sepedophilus phoxus,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,Australalia,Australasia,No,polyphagous,Polyphagous,omnivore,Omnivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Sepedophilus,suavis,Sepedophilus suavis,Sepedophilus suavis,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,NA,Oriental,No,polyphagous,Polyphagous,pr/sap,Omnivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Serangium,maculigerum,Serangium maculigerum,Serangium maculigerum,0,187063,Species,2005,Cucujoidea,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,predator,Predator,3,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Corylophidae,Sericoderus,apicalis,Sericoderus apicalis,Sericoderus apicalis,0,NA,Species,1941,Cucujoidea,D'Urville,Marlborough,SD,NA,NA,NA,NA,NA,herbivore,Herbivore,0.9,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Corylophidae,Sericoderus,brevicornis,Sericoderus brevicornis,Sericoderus brevicornis,0,NA,Species,2001,Cucujoidea,Bay of Plenty,Bay of Plenty,BP,Australia,Australasia,No,NA,NA,herbivore,Herbivore,0.9,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Corylophidae,Sericoderus,thoracicus,Sericoderus thoracicus,Sericoderus thoracicus,0,NA,Species,1911,Cucujoidea,Auckland,Auckland,AK,Europe,Palearctic,No,NA,NA,herbivore,Herbivore,0.9,NA,NA,NA,"Edney-Browne, 2018",NA
Blattodea,Blattidae,Shelfordina,orchidae,Shelfordina orchidae,Shelfordina orchidae,0,NA,Species,2001,NA,Auckland,Auckland,AK,Australia,Australasia,No,f-oligophagous,Oligophagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
