GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Nacerdes melanura,(Linnaeus),NA,ツマグロカミキリモドキ,Sanit,Coleoptera,NA,Oedemeridae,NA,NA,Wood (朽木を食べるそうです),Palearctic(Europe),"Yamanaka, 2015"
Gibbium aequinoctiale,Boieldieu,smooth spider beetle,ニセセマルヒョウホンムシ,Stored,Coleoptera,NA,Ptinidae,1901,NA,DryA,Neotropic,"Yamanaka, 2015"
Cosmopolites sordidus,(Germar),banana root borer:banana weevil borer,バショウオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1926,NA,Leaf (バナナの茎),Indomalaya,"Yamanaka, 2015"
Diocalandra frumenti,Fabricius,NA,ヨツボシヤシコクゾウムシ,Stored,Coleoptera,NA,Rhynchophoridae,1977,NA,Stored,Indomalaya Afrotropic Nearctic,"Yamanaka, 2015"
Laogenia formosana,NA,NA,アシナガコクゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,NA,NA,Unkown,Indomalaya,"Yamanaka, 2015"
Odoiporus longicollis,(Olivier),NA,バナナツヤオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1969,NA,Leaf (ヤシ類),Indomalaya,"Yamanaka, 2015"
Paracalendra saccharivova,"Chujo et 【Morimoto N, Kiritani K (1995) Fauna of exotic insects in Japan Bull Natl Inst Agro-Environ Sci 12:87-120】",syn (Myocalandra exarata),サトウキビコクゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1958,NA,Leaf (ヤシ類),Palearctic(Asia),"Yamanaka, 2015"
Polytus mellerborgi,Boheman,NA,バショウコクゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1925,NA,Leaf (ヤシ類),Indomalaya,"Yamanaka, 2015"
Rhabdoscelus fissicauda,NA,NA,ヤシオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1971,NA,Leaf (ヤシ類),Indomalaya,"Yamanaka, 2015"
Rhabdoscelus similis,(Chevrolat）,syn (R. lineatocollis),シロスジオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1976,NA,Leaf (ヤシ類),Indomalaya,"Yamanaka, 2015"
Rhynchophorus ferrugineus,(Olivier),Red Palm Weevil,ヤシオオオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1975,NA,Leaf (ヤシ類),Indomalaya Oceania,"Yamanaka, 2015"
Sitophilus oryzae,(Linnaeus),Rice weevil :  rice weevil:lesser rice weevil,ココクゾウムシ,Stored,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Sitophilus zeamais,Motschulsky,NA,コクゾウムシ,Stored,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Sphenocorynes ocellatus,NA,NA,ヨツメオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,NA,NA,Leaf (ゲットウ),Indomalaya,"Yamanaka, 2015"
Sphenophorus venatus,Chittenden,hunting billbug,シバオサゾウムシ,Outdoor,Coleoptera,NA,Rhynchophoridae,1979,NA,Leaf (芝),Palearctic(Asia) Nearctic,"Yamanaka, 2015"
Alissonotum pauper,NA,NA,クロマルコガネ,NA,Coleoptera,NA,Scarabaeidae,1996,NA,Unkown,Indomalaya,"Yamanaka, 2015"
Anomala cuprea,(Hope),NA,ドウガネブイブイ,Outdoor,Coleoptera,NA,Scarabaeidae,1995,NA,Leaf (芝),Palearctic(Asia),"Yamanaka, 2015"
Ataenius picinus,NA,NA,ヤエヤマニセツツマグソコガネ,NA,Coleoptera,NA,Scarabaeidae,1999,NA,Detritivore,Nearctic,"Yamanaka, 2015"
Onthophagus gazella,Fabricius,NA,ガゼラエンマコガネ,BiolAge,Coleoptera,NA,Scarabaeidae,1990,I,Animal,Afrotropic,"Yamanaka, 2015"
Onthophagus proletarius,NA,NA,ヨツモンエンマコガネ,NA,Coleoptera,NA,Scarabaeidae,2006,NA,Animal,Indomalaya,"Yamanaka, 2015"
Oryctes rhinoceros,(Linnaeus),NA,タイワンカブトムシ,NA,Coleoptera,NA,Scarabaeidae,1921,NA,Wood,Indomalaya,"Yamanaka, 2015"
Popillia japonica,Newman,NA,マメコガネ,Outdoor,Coleoptera,NA,Scarabaeidae,1990,I,Leaf,Afrotropic,"Yamanaka, 2015"
Protaetia fusca,(Herbst),Scarab beetle,ハイイロハナムグリ,NA,Coleoptera,NA,Scarabaeidae,1989,NA,Leaf (ギンネム？),Indomalaya,"Yamanaka, 2015"
Protaetia orientalis sakaii,NA,NA,サカイシロテンハナムグリ,NA,Coleoptera,NA,Scarabaeidae,1976,NA,Wood (昆虫マット？),Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Protaetia orientalis submarumorea,NA,NA,シロテンハナムグリ,NA,Coleoptera,NA,Scarabaeidae,1976,NA,Wood (昆虫マット？),Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Trypoxylus dichotomus septentrionalis,NA,NA,カブトムシ,NA,Coleoptera,NA,Scarabaeidae,1979,NA,Wood (昆虫マット？),Palearctic(Asia),"Yamanaka, 2015"
Cryptomorpha desjardinsi,(Guérin-Méneville),NA,モンセマルホソヒラタムシ,Stored,Coleoptera,NA,Silvanidae,NA,NA,Unkown,Palearctic(Asia),"Yamanaka, 2015"
Monanus concinnulus,(Walker),NA,チビセマルホソヒラタムシ,Stored,Coleoptera,NA,Silvanidae,1977,NA,Seeds,Pantropic,"Yamanaka, 2015"
Oryzaephilus mercator,(Fauvel),merchant grain beetle,オオメノコギリヒラタムシ,Stored,Coleoptera,NA,Silvanidae,1967,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Oryzaephilus surinamensis,(Linnaeus),Saw-toothed grain beetle :  saw-toothed grain beetle,ノコギリヒラタムシ,Stored,Coleoptera,NA,Silvanidae,1926,NA,Seeds,Neotropic,"Yamanaka, 2015"
Silvanus bidentatus,(Fabricius),NA,フタトゲホソヒラタムシ,Stored,Coleoptera,NA,Silvanidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Alphitobius diaperinus,(Panzer),lesser mealworm beetle:lesser mealworm,ガイマイゴミムシダマシ,Stored,Coleoptera,NA,Tenebrionidae,1957,NA,Seeds,Afrotropic,"Yamanaka, 2015"
Alphitobius laevigatus,(Fabricius),black fungus beetle,ヒメゴミムシダマシ,Stored,Coleoptera,NA,Tenebrionidae,1957,NA,Seeds,Indomalaya Afrotropic Australasia,"Yamanaka, 2015"
Coelopalorus foveicollis,Brair,NA,ムネミゾコクヌストモドキ,Stored,Coleoptera,NA,Tenebrionidae,1973,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Gnathocerus cornutus,(Fabricius),broadhorned flour beetle,オオツノコクヌストモドキ,Stored,Coleoptera,NA,Tenebrionidae,1953,NA,Seeds,Indomalaya Afrotropic,"Yamanaka, 2015"
Tenebrio molitor,Linnaeus,yellow mealworm:yellow mealworm beetle:mealworm,チャイロコメノゴミムシダマシ,Stored,Coleoptera,NA,Tenebrionidae,NA,NA,Seeds,Palearctic(Asia) Palearctic(Europe) indomalaya,"Yamanaka, 2015"
Tenebrio obscurus,Fabricius,dark mealworm:dark mealworm beetle,コメノゴミムシダマシ,Stored,Coleoptera,NA,Tenebrionidae,1931,NA,Seeds,Palearctic(Europe),"Yamanaka, 2015"
Tribolium castaneum,(Herbst),red-rust flour beetle :  red flour beetle:rust-red flour beetle:wee flour beetle:ferruginous flour beetle:brown grain beetle:red-brown rice-flour beetle,コクヌストモドキ,Stored,Coleoptera,NA,Tenebrionidae,1501,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Lophocateres pusillus,(Klug),Japanese maple scale,ホソチビコクヌスト,Stored,Coleoptera,NA,Trogossitidae,1979,NA,Seeds,Palearctic(Asia) Afrotropic,"Yamanaka, 2015"
Tenebroides mauritanicus,(Linnaeus),cadelle,コクヌスト,Stored,Coleoptera,NA,Trogossitidae,NA,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
