GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Hypera postica,(Gyllenhal),alfalfa weevil,Outdoor:Greenhouse,アルファルファタコゾウムシ,Coleoptera,NA,Curculionidae,1982,NA,Leaf,Nearctic Palearctic(Europe),"Yamanaka, 2015"
Hypera viciae,(Green),NA,Outdoor,ベッチタコゾウムシ,Coleoptera,NA,Curculionidae,1967,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Lissorhoptrus oryzophilus,Kudo,NA,Outdoor,イネミズゾウムシ,Coleoptera,NA,Curculionidae,1976,NA,Leaf (米),Nearctic,"Yamanaka, 2015"
Listroderes costirostris,Schoenherr,Vegetable weevil: syn (Listroderes difficilis),Outdoor:Greenhouse,ヤサイゾウムシ,Coleoptera,NA,Curculionidae,1942,NA,Leaf,Nearctic Neotropic,"Yamanaka, 2015"
Otiorhynchus sulcatus,(Fabricius),black vine weevil,GreenhouseTree,キンケクチブトゾウムシ,Coleoptera,NA,Curculionidae,1980,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Pantomorus cervinus,(Boheman),Fullers (Olinda) rose beetle,Greenhouse,フラーバラゾウムシ,Coleoptera,NA,Curculionidae,1994,NA,Leaf,Neotropic,"Yamanaka, 2015"
Rhinoncus albicinctus,(Comstock),NA,Not pest,ホソクチブトサルゾウムシ,Coleoptera,NA,Curculionidae,1955,NA,Leaf（オオイヌタデ）,Palearctic(Europe),"Yamanaka, 2015"
Sitona amurensis,(Quaintance),NA,Unknown,アムールチビコフキゾウムシ,Coleoptera,NA,Curculionidae,NA,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Sitona flavescens,Borchsenius,NA,Unknown,サビチビコフキゾウムシ,Coleoptera,NA,Curculionidae,1986,NA,Leaf,Nearctic Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Sitona hispidulus,(Fabricius),pea leaf weevil,Outdoor,ケチビコフキゾウムシ,Coleoptera,NA,Curculionidae,1954,NA,Leaf(シロツメクサなどの),Palearctic(Europe),"Yamanaka, 2015"
