ORDER,FAMILY,GENUS SPECIES,YEAR,origin,STATUS,REFERENCE,Intentional_Release,source,established_indoors_or_outdoors
Thysanoptera,Thripidae,Thrips tabaci,"NA",Cos [C. Asia],P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Thysanoptera,Phlaeothripidae,Gynaikothrips ficorum,1995,Cos,P*â€  (indoor; disappeared),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Anthocoridae,Orius laevigatus,2005,Cos [Mediterranean],NEâ€  (indoor; intentionally),NPQS (2011),I,"Hong, 2012",In
Hemiptera,Cimicidae,Cimex lectularius,"NA",Cos [Middle East],P hyg (disappeared),Lee (1996; Appendix I),"NA","Hong, 2012",Out
Hemiptera,Tingidae,Corythucha ciliata,1995,Nea [USA],P*,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Flatidae,Metcalfa pruinosa,2005,"Pal, Nea [N. America]",P*â€ ,NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Fulgoridae,Lycorma delicatula,2004,Ori [China],P*,NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Aphididae,Acyrthosiphon chelidonii,"NA",Eur,P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Hemiptera,Aphididae,Aphis fabae,1998,Cos,Non P,NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Aphididae,Aphis hederae,2000,"Pal, Nea",Non P,Cross-check Kim et al. (2006) and Kiritani (2002),"NA","Hong, 2012",Out
Hemiptera,Aphididae,Eriosoma lanigerum,1910,Cos [Europe],P,Lee (1996; Appendix I); Mukosaka (1913); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Aphididae,Macrosiphum euphorbiae,"NA","Nea, Cos",P,Cross-check Lee et al. (2002c) and Kiritani (2002),"NA","Hong, 2012",Out
Hemiptera,Aphididae,Uroleucon erigeronense,"NA","Nea, Cos",Non P,Cross-check Lee et al. (2002c) and Kiritani (2002),"NA","Hong, 2012",Out
Hemiptera,Phylloxeridae,Aphanostigma iakusuiense,1920s,Cos,P,Lee (1996; Appendix I); Anonymous (1923),"NA","Hong, 2012",Out
Hemiptera,Phylloxeridae,Daktulosphaera vitifoliae,1917,Cos [N. America],P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Aleyrodidae,Aleurocanthus spiniferus,"NA",Ori [Oriental],P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Hemiptera,Aleyrodidae,Bemisia tabaci,1998,"Ind, Cos [Middle East]",P* (indoor),NPQS (2010b),"NA","Hong, 2012",In
Hemiptera,Aleyrodidae,Trialeurodes packardi,1981,Nea,P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Aleyrodidae,Trialeurodes vaporariorum,1977,Cos,P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Margarodidae,Icerya purchasi,1910s,Cos [Australia],P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Pseudococcidae,Planococcus citri,"NA","Ori, Eth [Tropical]",P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Pseudococcidae,Pseudococcus dendrobiorum,2002,"Ori, Aus",P* (indoor; disappeared),NPQS (2010b),"NA","Hong, 2012",In
Hemiptera,Pseudococcidae,Pseudococcus longispinus,2000,Cos,P* (indoor),NPQS (2010b),"NA","Hong, 2012",In
Hemiptera,Coccidae,Ceroplastes rubens,1930s,Cos [Asia],P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hemiptera,Coccidae,Eucalymnatus tessellatus,"NA","Ori, Eth, Aus, Nea, Net [Tropical]",P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Coccidae,Parasaissetia nigra,"NA","Ori, Eth, Net [Tropical]",P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Coccidae,Saissetia coffeae,"NA","Ori, Eth, Net [Tropical]",P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
